Evento,RGS,Perfil solicitado,EVC,Habilidades Técnicas,Pruebas,Medellin,Fecha Solicitud,Tipo Solicitud,Estado,Observaciones
IN1679,,DESARROLLOS FRONT-END SEMI-SENIOR,,,,,9/22/22,NUEVA,APLICADO_PRESELECCIONADO,6 Postulaciones 3 postulaciones rechazadas ya no estan disponibles 1 en entrevistas 2 en validación Santiago Rodriguez
IN1678,,DESARROLLOS BACK-END SEMI-SENIOR,,,,,9/22/22,NUEVA,NO_APLICADO,Sin postulaciones
IN1675,,DESARROLLOS FULL-STACK SEMI-SENIOR,,,,,9/22/22,NUEVA,APLICADO_SELECCIONADO,Sin postulaciones   Postulación de entrenamiento   David Alejandro Castañeda
IN1672,,DESARROLLOS BACK-END SENIOR Elixir,,,,,9/23/22,NUEVA,NO_APLICADO,Sin postulaciones
IN1689,,DESARROLLOS FRONT-END SEMI-SENIOR,,,,,9/23/22,NUEVA,NO_APLICADO,Sin postulaciones
IN1682,,DESARROLLOS FRONT-END SEMI-SENIOR,,,,,9/23/22,NUEVA,NO_APLICADO,Sin postulaciones
IN1690,,DESARROLLOS BACK-END SEMI-SENIOR,,,,,9/23/22,NUEVA,CANCELADO,
IN1623,,DESARROLLOS BACK-END SEMI-SENIOR,,,,,9/23/22,NUEVA,APLICADO_SELECCIONADO,Sin postulaciones   Aplicado seleccionado proactiva Julian Becerra
IN1691,,DESARROLLOS FRONT-END SEMI-SENIOR,,,,,9/26/22,NUEVA,NO_APLICADO,1 Postulación llego el día de cierre de evento pendiente retorno de pruebas
IN1694,,DESARROLLOS BACK-END SEMI-SENIOR,,,,,9/26/22,NUEVA,NO_APLICADO,Sin postulaciones   postular de entrenamiento
IN1698,,DESARROLLOS BACK-END JUNIOR iSeries,,,,,9/26/22,REEMPLAZO,APLICADO_SELECCIONADO,Postulación interna    Assurance      JEISON FABIAN ROJAS ORREGO reemplazo de asurnce
IN1549,,DESARROLLOS FULL-STACK SENIOR,,,,,9/27/22,NUEVA,NO_APLICADO,Sin postulaciones
IN1540,,DESARROLLOS BACK-END SENIOR Elixir,,,,,9/27/22,NUEVA,NO_APLICADO,Javier Augusto Murcia aplicado desde el 15 de septiembre
IN1704,,DESARROLLOS BACK-END SEMI-SENIOR Sterling,,Sterling;Git,,,9/27/22,NUEVA,NO_APLICADO,Sin postulaciones
IN1703,,DESARROLLOS DATASTAGE JUNIOR,,,,,9/28/22,NUEVA,NO_APLICADO,1 Postulaciones rechazado por CTC
IN1548,,DESARROLLOS BACK-END SENIOR,,,,,9/28/22,NUEVA,NO_APLICADO,Sin Postulaciones
IN1636,,DESARROLLOS FULL-STACK SEMI-SENIOR,,,,,9/28/22,NUEVA,NO_APLICADO,Sin postulaciones
IN1708,,DESARROLLOS BACK-END SEMI-SENIOR iseries,,,,,9/28/22,NUEVA,NO_APLICADO,Sin postulaciones
IN1636,,DESARROLLOS FULL-STACK SEMI-SENIOR,,,,,9/28/22,NUEVA,NO_APLICADO,
IN1709,,DESARROLLOS BACK-END SEMI-SENIOR,,,,,9/29/22,NUEVA,NO_APLICADO,3 Postulaciones 1 se pasa para entrenamiento 1 pruebas bajas 1 no contesto pruebas
IN1655,,DESARROLLOS FRONT-END SENIOR,,,,,9/29/22,NUEVA,NO_APLICADO,2
IN1649,,DESARROLLOS BACK-END SENIOR Iseries,,,,,9/30/22,NUEVA,NO_APLICADO,Sin postulaciones
IN1657,,DESARROLLOS FULL-STACK SEMI-SENIOR,,,,,9/30/22,NUEVA,NO_APLICADO,Sin postulaciones
IN1659,,DESARROLLOS MOBILE SEMI-SENIOR,,,,,9/30/22,REEMPLAZO,NO_APLICADO,2 Postulacion 1 Rechazado supera CTC 1 no contesto pruebas técnicas antes del cierre del evento
IN1672,,DESARROLLOS BACK-END SENIOR Elixir,,,,,9/30/22,NUEVA,NO_APLICADO,Sin postulaciones
IN1670,,ARQUITECTAR NUBE SENIOR,,,,,9/30/22,NUEVA,NO_APLICADO,4 Postulaciones 1 rechazado pruebas bajas 3 n ocontestaron pruebas antes del cierre del evento 1 llego el día de cierre de evento
IN1716,,DESARROLLOS BACK-END SENIOR,,,,,9/30/22,NUEVA,NO_APLICADO,Sin postulaciones
IN1654,,DESARROLLOS FRONT-END SEMI-SENIOR,,TYPESCRIPT;Angular;NPM,,,9/30/22,NUEVA,APLICADO_PRESELECCIONADO,Aplicado Jeisson Pulido
IN1669,,DESARROLLOS BACK-END SEMI-SENIOR,,,,,9/30/22,NUEVA,NO_APLICADO,Sin Postulaciones
IN1663,,DESARROLLOS BACK-END SENIOR,,,,,9/30/22,NUEVA,NO_APLICADO,Sin postulaciones
IN1717,,DESARROLLOS BACK-END SEMI-SENIOR iseries,,RPG/ILE;CL;DB2;Pruebas Unitarias,,,10/3/22,NUEVA,NO_APLICADO,Sin postulaciones
IN1661,,DESARROLLOS BACK-END SENIOR,,Java SE;Python;IBM Cloudant;POSTGRESQL;Spring Boot;Spring Web;Artifactory;Pruebas Unitarias;Apache Camel;Kubernetes;DOCKER;Git;RabbitMQ,,,10/4/22,NUEVA,NO_APLICADO,Sin postulaciones
IN1540,,DESARROLLOS BACK-END SENIOR Elixir,,Elixir;POSTGRESQL;Kubernetes;DOCKER;Git,,,10/4/22,NUEVA,NO_APLICADO,Sin Postulaciones
IN1567,,DESARROLLOS BACK-END SEMI-SENIOR Elixir,,Java SE;Elixir;AWS DynamoDB;POSTGRESQL;Spring Boot;Kubernetes;Postman ,,,10/4/22,NUEVA,NO_APLICADO,Sin Postulaciones
IN1720,,DESARROLLOS FULL-STACK SEMI-SENIOR,,Java SE;JavaScript;POSTGRESQL;SQL SERVER;Spring Boot;Angular;Artifactory;Jmeter;Azure Active Directory;Kubernetes;Nodejs;Git;Selenium,,,10/4/22,REEMPLAZO,APLICADO_SELECCIONADO,Se presentara a alguien interno postulado para QA R  Alexander Chaverra 
IN1722,,DESARROLLOS FULL-STACK SENIOR,,Java SE;TYPESCRIPT;SQL SERVER;Angular;Spring Boot;AMAZON EC2;Apache Tomcat;Mockito;Git;Análisis Estático (SonarQube),,,10/4/22,NUEVA,NO_APLICADO,2 postulaciones rechazadas 
IN1723,,DESARROLLOS FULL-STACK SENIOR,,Java SE;TYPESCRIPT;SQL SERVER;Angular;Spring Boot;AMAZON EC2;Apache Tomcat;Mockito;Git;Análisis Estático (SonarQube),,,10/4/22,NUEVA,NO_APLICADO,1 postulacion rechazado no presento pruebas
IN1548,,DESARROLLOS BACK-END SENIOR,,Java SE;POSTGRESQL;AWS DynamoDB;Spring Boot;Spring Cloud;Artifactory;Pruebas de Performance;BDD (Gherkin/Serenity);Kubernetes;DOCKER;Gradle;RabbitMQ,,,10/5/22,NUEVA,NO_APLICADO,Sin Postulaciones
IN1730,,DESARROLLOS BACK-END SENIOR,,Java SE;POSTGRESQL;Spring Boot;Artifactory;Pruebas Unitarias,,,10/5/22,REEMPLAZO,APLICADO_SELECCIONADO,R  RAFAEL EDUARDO CAMARGO CELY  
IN1731,,DESARROLLOS FULL-STACK SEMI-SENIOR,,Java SE;AMAZON EC2,,,10/5/22,REEMPLAZO,APLICADO_DESISTIDO,R  Jose Purizaga
IN1734,,DESARROLLOS BACK-END SEMI-SENIOR Elixir,,Elixir;POSTGRESQL;DOCKER;Kubernetes;Git,,,10/5/22,NUEVA,NO_APLICADO,Sin Postulaciones
IN1737,,INGENIERIA NUBE SEMI-SENIOR,,Python;AWS DynamoDB;DevOps;AWS CloudTrail;AWS CLOUDFORMATION;AWS Lambda,,,10/6/22,NUEVA,APLICADO_SELECCIONADO,8 Postulaciones 3 pendiente retorno de pruebas 1 en entrevistas 4 rechazados
IN1732,,DESARROLLOS FULL-STACK SEMI-SENIOR,,Java SE;AMAZON EC2,,,10/6/22,REEMPLAZO,APLICADO_SELECCIONADO,R  Fabian Morales
IN1699,,DESARROLLOS BACK-END SEMI-SENIOR iseries,,RPG/ILE;COBOL;DB2,,,10/6/22,NUEVA,NO_APLICADO,Sin postulaciones
IN1742,,DESARROLLOS BACK-END SENIOR,,Java SE;POSTGRESQL;Spring Boot;Artifactory;Pruebas Unitarias;DOCKER;Kubernetes;Git;Postman ,,,10/7/22,NUEVA,APLICADO_PRESELECCIONADO,2 Postulaciones pendiente retorno de pruebas
IN1736,,DESARROLLOS BACK-END SEMI-SENIOR,,Java SE;Python;MongoDB;ORACLE;Apache Camel,,,10/7/22,NUEVA,CANCELADO,Cancelado por el cliente
IN1670,,ARQUITECTAR NUBE SENIOR ,,Python;YAML;AWS DynamoDB;SQL SERVER;AMAZON EC2;DevOps;ARQUITECTURA DE REFERENCIA AWS;Servicios core AWS;AMAZON EKS;Git;Fundamentos Azure DevOps,,,10/7/22,NUEVA,APLICADO_SELECCIONADO,4 Postulaciones 1 en entrevista HR 1 rechazado pruebas bajas 2 pendiente retorno de pruebas
IN1672,,DESARROLLOS BACK-END SENIOR Elixir,,Java SE;Elixir;AWS DynamoDB;MongoDB;Spring Boot;Spring Cloud;Artifactory;Apache Camel;Azure Active Directory;DOCKER;Kubernetes;Git;RabbitMQ,,,10/7/22,NUEVA,NO_APLICADO,Sin postulaciones
IN1743,,AUTOMATIZACIÓN DE PRUEBAS SENIOR,,Java SE;SQL;ORACLE;DB2;SERENITY;DevOps;Patrón de diseño ScreenPlay,,,10/10/22,REEMPLAZO,APLICADO_SELECCIONADO,R Juan Felipe Molina
IN1745,,INGENIERIA NUBE SEMI-SENIOR,,YAML;TYPESCRIPT;AWS DynamoDB;POSTGRESQL;AMAZON EC2;AWS Architecture;SERVICIOS CORE AZURE;Servicios core AWS;Git,,,10/10/22,REEMPLAZO,APLICADO_SELECCIONADO,Reemplazo Alexander Rua   2 Postulaciones 1 Aplicado 1 pendiente entrevistas
IN1748,,AUTOMATIZACIÓN DE PRUEBAS SEMI-SENIOR,,Java SE;SQL;DB2;SQL SERVER;SERENITY;DevOps;Patrón de diseño ScreenPlay;Git,,,10/11/22,REEMPLAZO,APLICADO_SELECCIONADO,R Daniel Restrepo
IN1754,,DESARROLLOS BACK-END SEMI-SENIOR iseries,,CL;RPG/ILE;DB2;Pruebas Unitarias,,,10/11/22,NUEVA,NO_APLICADO,Sin Postulaciones
IN1755,,DESARROLLOS BACK-END SEMI-SENIOR iseries,,CL;RPG/ILE;DB2;Pruebas Unitarias,,,10/11/22,REEMPLAZO,NO_APLICADO,1 Postulación  rechazado pruebas bajas
IN1704,, ,,Sterling;Git,,,10/12/22,NUEVA,NO_APLICADO,Sin Postulaciones
IN1722,,DESARROLLOS FULL-STACK SENIOR,,Java SE;TYPESCRIPT;SQL SERVER;Angular;Spring Boot;AMAZON EC2;Apache Tomcat;Mockito;Git;Análisis Estático (SonarQube),,,10/12/22,NUEVA,NO_APLICADO,Sin Postulaciones
IN1758,,DESARROLLOS FRONT-END SEMI-SENIOR,,TYPESCRIPT;Fundamentos CSS;Angular;DOM y Browser Engine;NPM,,,10/12/22,REEMPLAZO,APLICADO_PRESELECCIONADO,R  BRAYAN ANDRES ANGEL SUAREZ
IN1762,,DESARROLLOS BACK-END SEMI-SENIOR Iseries,,CL;RPG/ILE;DB2,,,10/12/22,NUEVA,NO_APLICADO,Sin Postulaciones 1 candidata postulada después del cierre del evento pruebas bajas
IN1756,,AUTOMATIZACIÓN DE PRUEBAS SEMI-SENIOR,,Java SE;SQL;MYSQL;SERENITY;Patrón de diseño ScreenPlay;DevOps;AWS RDS;Postman ;Git,,,10/13/22,NUEVA,APLICADO_SELECCIONADO,
IN1734,,DESARROLLOS BACK-END SEMI-SENIOR Elixir,,Elixir;POSTGRESQL;DOCKER;Kubernetes;Git,,,10/13/22,NUEVA,NO_APLICADO,1 Postulación llega el día del cierre del evento
IN1764,,DESARROLLOS BACK-END JUNIOR,,Java SE;POSTGRESQL;ORACLE;Spring Boot;Artifactory;Pruebas Unitarias;Apache Tomcat;UrbanCode,,,10/13/22,NUEVA,APLICADO_PRESELECCIONADO,
IN1767,,DESARROLLOS BACK-END SEMI-SENIOR,,Java SE;MYSQL;POSTGRESQL;Spring Boot;Pruebas Unitarias;WEB SECURITY AND THE OWASP TOP 10: THE BIG PICTURE;DOCKER;Git;Postman,,,10/13/22,NUEVA,APLICADO_NO_SELECCIONADO,1 Postulación llega 1 día antes del cierre de evento pendiente retorno de pruebas en revisión persona en RGS proactiva
IN1775,,DESARROLLOS BACK-END  SENIOR,,Java SE;POSTGRESQL;Spring Boot;BDD (Gherkin/Serenity);DOCKER;Gradle - Tener presente: Java;patrón de automatización Screenplay con serenity BDD;Cucumber;Rest services;AWS ,,,10/14/22,REEMPLAZO,APLICADO_SELECCIONADO,R  Manuel Yepes
IN1774,,AUTOMATIZACIÓN DE PRUEBAS SENIOR,,Java SE;SQL;POSTGRESQL;SERENITY;Patrón de diseño ScreenPlay;DevOps;AWS RDS;Selenium;Postman ,,,10/14/22,REEMPLAZO,APLICADO_SELECCIONADO,R  Maria Camila Arboleda
IN1672,,DESARROLLOS BACK-END SENIOR Elixir,,Java SE;Elixir;AWS DynamoDB;MongoDB;Spring Boot;Spring Cloud;Artifactory;Apache Camel;Azure Active Directory;DOCKER;Kubernetes;Git;RabbitMQ,,,10/14/22,NUEVA,NO_APLICADO,8639847   2 Postulaciones pendiente retorno de pruebas 8644922   Sin Postulaciones aún 8644923   Sin Postulaciones aún 
IN1776,,DESARROLLOS BACK-END SENIOR Elixir,,Java SE;Elixir;POSTGRESQL;Spring Web;DOCKER;Kubernetes;Gradle;Git,,,10/14/22,NUEVA,NO_APLICADO,8647168   Sin Postulaciones aún  8647169   Sin Postulaciones aún
IN1770,,DESARROLLOS FRONT-END SEMI-SENIOR,,JavaScript;Fundamentos CSS;Angular;NPM Se requiere desarrollador front con experiencia en Javascript;scss;Angular;pruebas unitarias en jest,,,10/14/22,NUEVA,APLICADO_PRESELECCIONADO,
IN1773,,DESARROLLOS FULL-STACK - Semi Senior,,TYPESCRIPT;JavaScript;Angular;Spring Boot;Nodejs;Kubernetes;NPM;Git Adicional :angular;metodología ágil;DevOps;y en la nube de AWS ,,,10/18/22,NUEVA,NO_APLICADO,Sin Postulaciones
IN1708,,DESARROLLOS BACK-END SEMI-SENIOR iseries,,RPG/ILE;CL;DB2;Pruebas Unitarias,,,10/19/22,NUEVA,NO_APLICADO,8647490 Sin Postulaciones 8647491 Sin Postulaciones
IN1783,,AUTOMATIZACIÓN DE PRUEBAS SEMI-SENIOR,,Java SE;POSTGRESQL;SERENITY;Selenium,,,10/19/22,REEMPLAZO,APLICADO_SELECCIONADO,R Maria Naranjo
IN1786,,DESARROLLOS BACK-END SEMI-SENIOR Elixir,,Java SE;Elixir;POSTGRESQL;AWS DynamoDB;Spring Boot;Spring Cloud;Artifactory;Azure Active Directory;Pruebas Unitarias;DOCKER;Kubernetes,,,10/19/22,NUEVA,NO_APLICADO,Si Postulaciones
IN1548,,DESARROLLOS BACK-END SENIOR,,JAVA;POSTGRESQL;AWS DynamoDB;Spring Boot;Spring Cloud;Artifactory;Pruebas de Performance;BDD (Gherkin/Serenity);Kubernetes;DOCKER;Gradle;RabbitMQ,,,10/20/22,NUEVA,APLICADO_PRESELECCIONADO,4 Postulaciones 1 rechazado 2 pendiente retorno de pruebas 1 en entrevista HR   Para postular de entrenamiento
IN1791,,DESARROLLOS DATASTAGE SEMI-SENIOR,,PL/SQL;IBM InfoSphere DataStage,,,10/20/22,NUEVA,APLICADO_NO_SELECCIONADO,3 Postulaciones 1 para presentar a cliente 1 pendinete retorno de pruebas 1 pruebas bajas
IN1752,,DESARROLLOS BACK-END SEMI-SENIOR Elixir,,Elixir;Java SE;MongoDB;REDIS;Spring Boot;Spring Cloud;Artifactory;Apache Camel;BDD (Gherkin/Serenity);Kubernetes;DOCKER;GraphQL;Gradle,,,10/21/22,NUEVA,CANCELADO,
IN1755,,DESARROLLOS BACK-END SEMI-SENIOR iseries,,CL;RPG/ILE;DB2;Pruebas Unitarias,,,10/21/22,REEMPLAZO,NO_APLICADO,R  Edwing Emilio Loaiza
IN1793,,DESARROLLOS MOBILE SEMI-SENIOR,,Dart;Flutter;Git;pruebas unitarias con Flutter;y AWS,,,10/21/22,NUEVA,APLICADO_SELECCIONADO,3 Postulaciones 2 pendiente retorno de pruebas 1 en entrevistas
IN1792,,DESARROLLOS BACK-END JUNIOR,,Java SE;ORACLE;POSTGRESQL;Spring Boot;Artifactory;Pruebas Unitarias;DOCKER;Kubernetes;Postman ;Git,,,10/21/22,NUEVA,APLICADO_PRESELECCIONADO,
IN1797,,DESARROLLOS MOBILE SEMI-SENIOR,,Dart;SQLite;Artifactory;Flutter;Mockito;Git,,,10/24/22,NUEVA,APLICADO_PRESELECCIONADO,
IN1796,,DESARROLLOS BACK-END SEMI-SENIOR ,,Java SE;REDIS;AWS DynamoDB;Spring Boot;Spring Cloud;Artifactory;Pruebas Unitarias;DOCKER;Kubernetes;Git;RabbitMQ,,,10/24/22,NUEVA,APLICADO_SELECCIONADO,Seleccionado Solo un candidato
IN1798,,DESARROLLOS MOBILE SEMI-SENIOR,,Dart;SQLite;Artifactory;Flutter;Mockito;Git,,,10/24/22,NUEVA,APLICADO_PRESELECCIONADO,
IN1776,,DESARROLLOS BACK-END SENIOR Elixir,,Java SE;Elixir;POSTGRESQL;Spring Web;DOCKER;Kubernetes;Gradle;Git,,,10/24/22,NUEVA,NO_APLICADO,
IN1795,,DESARROLLOS BACK-END SEMI-SENIOR ,,Java SE;REDIS;AWS DynamoDB;Spring Boot;Spring Cloud;Artifactory;Pruebas Unitarias;DOCKER;Kubernetes;Git;RabbitMQ,,,10/24/22,NUEVA,APLICADO_PRESELECCIONADO,1 postulacion pendiente retorno de pruebas A aplicar
IN1809,,INGENIERIA NUBE SEMI-SENIOR,,YAML;Json;AWS DynamoDB;SQL SERVER;AMAZON EC2;ARQUITECTURA DE REFERENCIA AWS;Servicios core AWS;SERVICIOS CORE AZURE;Git;conocimientos en Azure y AWS ,,,10/28/22,REEMPLAZO,APLICADO_NO_SELECCIONADO,R  FABRICIO MORENO ZAMBRANO
IN1814,,AUTOMATIZACIÓN DE PRUEBAS SENIOR,,Java SE;SQL;ORACLE;DB2; SERENITY;Gherkin / Cucumber;DevOps;git;cucumber patron screen play y conociminetos deseables en: jmeter,,,10/28/22,REEMPLAZO,APLICADO_SELECCIONADO,R  JULIAN DAVID ARROYO PALACIOS
IN1828,,DESARROLLOS FULL-STACK SEMI-SENIOR,,JavaScript;POSTGRESQL;Spring Boot;AMAZON EC2;Azure Active Directory;Nodejs;Git,,,10/28/22,NUEVA,APLICADO_SELECCIONADO,
IN1806,,DESARROLLOS FULL-STACK SENIOR,,Java SE;REACT;ORACLE;Spring Boot;AMAZON EC2;Kubernetes;conocimientos en AWS;Elixir;Java conocimiento en React (basic);python;MQ y Kubernetes;Metodologías agiles ,,,10/28/22,NUEVA,NO_APLICADO,
IN1672,,DESARROLLOS BACK-END SENIOR Elixir,,Java SE;Elixir;AWS DynamoDB;MongoDB;Spring Boot;Spring Cloud;Artifactory;Apache Camel;Azure Active Directory;DOCKER;Kubernetes;Git;RabbitMQ,,,10/31/22,NUEVA,APLICADO_SELECCIONADO,
IN1776,,DESARROLLOS BACK-END SENIOR Elixir,,Java SE;Elixir;POSTGRESQL;Spring Web;DOCKER;Kubernetes;Gradle;Git,,,10/31/22,NUEVA,APLICADO_DESISTIDO,
IN1731,,DESARROLLOS FULL-STACK,, Java SE;AMAZON EC2,,,10/31/22,REEMPLAZO,APLICADO_SELECCIONADO,R  Leonardo Bonilla
IN1772,,DESARROLLOS FULL-STACK SEMI-SENIOR,,POSTGRESQL;Angular;Spring Boot,,,11/1/22,NUEVA,APLICADO_SELECCIONADO,
IN1838,,AUTOMATIZACIÓN DE PRUEBAS SENIOR,,Java SE;Gherkin / Cucumber;Git,,,11/1/22,NUEVA,APLICADO_SELECCIONADO,
IN1829,,DESARROLLOS FULL-STACK JUNIOR,,C# (NET Framework);SQL SERVER;Angular;AMAZON EC2;Jmeter;IIS;Análisis Estático (SonarQube),,,11/1/22,NUEVA,NO_APLICADO,
IN1848,,AUTOMATIZACIÓN DE PRUEBAS SEMI-SENIOR,, Java SE;AWS DynamoDB;SERENITY;Patrón de diseño ScreenPlay;AWS RDS;Selenium,,,11/2/22,REEMPLAZO,APLICADO_SELECCIONADO,R  Manuela Lopez
IN1770,,Desarrollo Front End Semi-Senior,, JavaScript;Fundamentos CSS;Angular;NPM,,,11/2/22,NUEVA,APLICADO_PRESELECCIONADO,
